model_name,train_cluster,test_cluster,train_n,test_n,r2,r2_ci_lower,r2_ci_upper,mae_log,mse_log,mdae_log,smape,mean_residual,std_residual,residual_skewness,slope,intercept,calibration_r2,top_features
conte,conte,conte,8000,2000,0.6462195616127129,0.6038834586787466,0.6851041901987109,0.28428771106601336,0.21888734377968433,0.15983973180989786,15.950027409537682,0.010648865566299407,0.4677327714003319,1.8829068864928622,0.9841072651073333,-0.051319981400778314,0.6465714713381163,"log_nhosts,partition_encoded,failed"
anvil,anvil,anvil,8000,2000,0.49337788254498616,0.44623579226579607,0.5358127128940808,0.3488901924686196,0.30258999885621496,0.1661024184526363,16.572151957955693,-0.007382424251737399,0.5500322705699933,0.8129888975750222,0.9725278494651118,-0.07233431149506275,0.49386321461333954,"log_cores_per_node,partition_encoded,runtime_efficiency"
conte→anvil,conte,anvil,8000,2000,-4.325719406671009,-4.633195523320519,-4.0365459344380845,1.6093517475560284,3.180890398682996,1.3732306700283925,119.16062970563829,1.6093517475560284,0.768685469695735,1.3117342917607056,0.5161498174574474,-0.31686373578084837,0.08827514570037288,"log_nhosts,partition_encoded,failed"
anvil→conte,anvil,conte,8000,2000,-9.30814155025472,-10.336196439719215,-8.53227407497306,2.3251877469117317,6.3777458514261705,2.1123486669879346,156.8390427602227,-2.3073267589008304,1.0266397026641625,-0.8370070942289697,-0.4119581629417957,-4.539933283037914,0.06546100976649577,"log_cores_per_node,partition_encoded,runtime_efficiency"
pooled_no_id,all,conte,16000,2000,0.6464637940501685,0.6041832255243466,0.6843031397584327,0.2895441685115144,0.21873623483272497,0.17595502689305698,17.55023615406894,0.007431376204536409,0.46763341356283733,1.968724626966886,1.002009136582516,0.01525886727634651,0.6465556524267583,"partition_encoded,log_nhosts,log_ncores"
pooled_no_id,all,anvil,16000,2000,0.49630216731827015,0.4532669402663365,0.5367900239012,0.3536926686702804,0.30084341240505824,0.18190670097050932,18.140672932215757,-0.005436388657989307,0.5484650016941989,0.8588182766613913,1.0198177612084458,0.041456941634893774,0.49653915672162746,"partition_encoded,log_nhosts,log_ncores"
pooled_with_id,all,conte,16000,2000,0.6464637940501685,0.6041832255243466,0.6843031397584327,0.2895441685115144,0.21873623483272497,0.17595502689305698,17.55023615406894,0.007431376204536409,0.46763341356283733,1.968724626966886,1.002009136582516,0.01525886727634651,0.6465556524267583,"partition_encoded,log_nhosts,log_ncores"
pooled_with_id,all,anvil,16000,2000,0.49630216731827015,0.4532669402663365,0.5367900239012,0.3536926686702804,0.30084341240505824,0.18190670097050932,18.140672932215757,-0.005436388657989307,0.5484650016941989,0.8588182766613913,1.0198177612084458,0.041456941634893774,0.49653915672162746,"partition_encoded,log_nhosts,log_ncores"
