r2,mae_log,mdae_log,smape,train_cluster,test_cluster,n_train,n_test,is_transfer,variant
0.32908675533172016,1.9366986276006963,1.7545680068804073,141.01121686708652,S,S,4837564,166819,False,
0.014203151544789017,2.0216843884432736,2.097156174031271,156.25058872293388,S,C,4837564,525341,True,
0.5040341495463849,1.8409124301242343,1.333461938233504,116.56507446069904,S,NONE,4837564,49651,True,
0.29813685205590656,1.9664177210141118,1.6686804460035844,136.55992157674427,C,S,1020786,166819,True,
0.12866479162809175,1.807964685719572,1.8263538641597332,144.53071549555696,C,C,1020786,525341,False,
0.4334331390903029,1.9536298953356925,1.4154226116430912,121.84793293533131,C,NONE,1020786,49651,True,
0.014058425009113695,2.386968452876675,2.1982681091202902,160.03754933846963,NONE,S,166055,166819,True,
0.16242232938257717,1.6635332140830563,1.4944481724818548,126.69799226880114,NONE,C,166055,525341,True,
0.7043556341420087,1.3261987531006165,1.0171284698415857,93.76515302772168,NONE,NONE,166055,49651,False,
-0.03723193085767673,2.5402442581192837,2.3967523064609306,166.63172415779616,S,S,4837564,166819,False,no_timelimit
-0.10414217771414758,2.1821427757039866,2.3689218423931138,165.77061199686906,S,C,4837564,525341,True,no_timelimit
-0.20904018370102673,2.6908343123651086,2.0255273122793254,153.38053553195422,S,NONE,4837564,49651,True,no_timelimit
-0.05204889926003786,2.5063494849037484,2.330453935992235,164.54720585551584,C,S,1020786,166819,True,no_timelimit
-0.36508333888228295,2.418538553243263,2.446019974080776,168.10796596331446,C,C,1020786,525341,False,no_timelimit
-0.4281942462067725,2.8158527977361327,1.483209226571728,126.02273317488401,C,NONE,1020786,49651,True,no_timelimit
-0.20248197623217168,2.6698067993398236,2.3929355384656255,166.514804687892,NONE,S,166055,166819,True,no_timelimit
-0.8350972075948908,2.3108603204015474,1.3785889213357425,119.50570733225727,NONE,C,166055,525341,True,no_timelimit
0.5185585526714147,1.7172133903201579,1.262741120989154,111.7990419931331,NONE,NONE,166055,49651,False,no_timelimit
