r2,mae_log,mdae_log,smape,variant,model,cluster,split,n_features
-0.07259826342737785,2.5883940559483833,2.502824262388409,169.7358296997054,global_median,baseline,S,time_based,
0.07375941500590033,2.117220449592027,1.6296415669847786,134.44821245220356,user_median,baseline,S,time_based,
-0.03716137369246075,2.5401127766706746,2.396581504755103,166.62650275725963,resources_only,xgboost,S,time_based,2.0
0.3293373384868721,1.9389979841152045,1.7570324039324512,141.13503330264496,with_timelimit,xgboost,S,time_based,3.0
0.04813428494550964,2.3967321025161747,2.2279786482985706,161.09360920097166,with_user,xgboost,S,time_based,3.0
0.3593114443644916,1.8633473528466409,1.6700876832181208,136.63500370150683,full,xgboost,S,time_based,4.0
-0.024900203364894624,2.404016868537733,2.364414559261265,165.62926977354545,global_median,baseline,S,user_aware,
-0.024900203364894624,2.404016868537733,2.364414559261265,165.62926977354545,user_median,baseline,S,user_aware,
-0.017595199414822016,2.4017469245379295,2.263088832237197,162.30943423150956,resources_only,xgboost,S,user_aware,2.0
0.22514792819592722,2.023536428633799,1.8421463818959323,145.28094353683707,with_timelimit,xgboost,S,user_aware,3.0
-0.20349309503188828,2.550988000035003,2.2575526764077507,162.12001173268266,with_user,xgboost,S,user_aware,3.0
0.1863960538612296,2.049982841074472,1.8511921691144417,145.7068067139345,full,xgboost,S,user_aware,4.0
-0.13218508026398568,2.218764796442143,2.3237873006446486,164.33121018759383,global_median,baseline,C,time_based,
-0.3196797808217995,1.9044619569613321,1.4360702326140817,123.13814667389671,user_median,baseline,C,time_based,
-0.36519781060566525,2.4187330397910136,2.4453118709008446,168.08717813855682,resources_only,xgboost,C,time_based,2.0
0.12580506779377465,1.810416915593481,1.8235916925235678,144.39861754810647,with_timelimit,xgboost,C,time_based,3.0
0.11559492438988461,1.569718628143794,0.9883098857775425,91.50159121880765,with_user,xgboost,C,time_based,3.0
0.42153896610885244,1.3687059960334396,1.1362982230298275,102.79973933454298,full,xgboost,C,time_based,4.0
-0.2363880011936479,2.3577117299771624,2.0405935660688286,153.99747793170994,global_median,baseline,C,user_aware,
-0.2363880011936479,2.3577117299771624,2.0405935660688286,153.99747793170994,user_median,baseline,C,user_aware,
-0.09130349049637787,2.2281837675342118,1.906555482170777,148.2526722091352,resources_only,xgboost,C,user_aware,2.0
0.23722647791639917,1.8744588029035019,1.7125024993873101,138.86423988978592,with_timelimit,xgboost,C,user_aware,3.0
-0.7078403437825573,2.7660051578619145,2.1063682453593016,156.60823941086258,with_user,xgboost,C,user_aware,3.0
0.2019111552976094,1.9318849228166572,1.6134297994927786,133.55480831007668,full,xgboost,C,user_aware,4.0
-0.12135765062151593,2.655351163224906,2.2559250115279834,162.06415620415532,global_median,baseline,NONE,time_based,
0.5813000868519458,1.4926922320070464,1.0397717886451758,95.5223880561372,user_median,baseline,NONE,time_based,
0.51941397398626,1.7155262023925753,1.2569396520747746,111.399529637316,resources_only,xgboost,NONE,time_based,2.0
0.7122682291759596,1.3089338044025598,1.0149664901662927,93.5963867240544,with_timelimit,xgboost,NONE,time_based,3.0
0.580710772946198,1.6691260375212291,1.3415389730354423,117.09716264460891,with_user,xgboost,NONE,time_based,3.0
0.7543513765099842,1.1939129521593261,0.9362912200857263,87.339957747171,full,xgboost,NONE,time_based,4.0
-0.16209548547260777,2.2114044137880735,2.3302876955433813,164.54183266768382,global_median,baseline,NONE,user_aware,
-0.16209548547260777,2.2114044137880735,2.3302876955433813,164.54183266768382,user_median,baseline,NONE,user_aware,
-0.9732105861471598,2.8758788605662366,2.828655364654871,177.68192261962037,resources_only,xgboost,NONE,user_aware,2.0
0.3947333025886267,1.4687476372551653,1.2706450555546551,112.34126202174374,with_timelimit,xgboost,NONE,user_aware,3.0
-1.4581039978297499,3.160455200534833,3.404737786754305,187.14091103700213,with_user,xgboost,NONE,user_aware,3.0
-0.05833338561186152,1.9987094116866926,1.7990006094053803,143.21089620590277,full,xgboost,NONE,user_aware,4.0
