exp_num,exp_dir,metrics_exists,strategy,n_target_labels,target_label_seed,actual_cal_n,actual_eval_n,effective_n_target_labels,calibration_n_capped,min_target_eval_rows,min_target_eval_rows_satisfied,overlap_total,target_r2,target_mae_log,target_smape,target_slope,target_bias_log,target_overflow_pred,created_utc,pair_source,pair_target,regime,run_id,overlap,limitations
88,experiments/EXP-088_few_shot_repair_non1337_output_recal_n200_seed2024,True,output_recal,200,2024,173,50,173,True,50,True,223,-0.3035815507906492,0.10334071426334245,79.34135776434965,-1.8660576252628263,0.0035315598601025743,False,2026-03-16T22:28:50Z,,,hardware_cpu_standard,EXP-088_few_shot_repair_non1337_output_recal_n200_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=output_recal, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
89,experiments/EXP-089_few_shot_repair_non1337_output_recal_n200_seed2025,True,output_recal,200,2025,173,50,173,True,50,True,223,-0.01009598727958938,0.10034733958736941,65.23794133983421,1.9638293985599964,0.020149382449122743,False,2026-03-16T22:30:26Z,,,hardware_cpu_standard,EXP-089_few_shot_repair_non1337_output_recal_n200_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=output_recal, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
90,experiments/EXP-090_few_shot_repair_non1337_output_recal_n500_seed2024,True,output_recal,500,2024,173,50,173,True,50,True,223,-0.3035815507906492,0.10334071426334245,79.34135776434965,-1.8660576252628263,0.0035315598601025743,False,2026-03-16T22:32:10Z,,,hardware_cpu_standard,EXP-090_few_shot_repair_non1337_output_recal_n500_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=output_recal, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
91,experiments/EXP-091_few_shot_repair_non1337_output_recal_n500_seed2025,True,output_recal,500,2025,173,50,173,True,50,True,223,-0.01009598727958938,0.10034733958736941,65.23794133983421,1.9638293985599964,0.020149382449122743,False,2026-03-16T22:33:54Z,,,hardware_cpu_standard,EXP-091_few_shot_repair_non1337_output_recal_n500_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=output_recal, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
92,experiments/EXP-092_few_shot_repair_non1337_fine_tune_n10_seed2024,True,fine_tune,10,2024,10,213,10,False,50,True,223,0.01041695216104166,0.08451048246963613,61.74743758791281,1.2340758344840428,0.022943855428426342,False,2026-03-16T22:35:55Z,,,hardware_cpu_standard,EXP-092_few_shot_repair_non1337_fine_tune_n10_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
93,experiments/EXP-093_few_shot_repair_non1337_fine_tune_n10_seed2025,True,fine_tune,10,2025,10,213,10,False,50,True,223,0.007777472432178745,0.09124138615672722,61.81724272280926,2.2436723405492325,0.003924939215964502,False,2026-03-16T22:37:54Z,,,hardware_cpu_standard,EXP-093_few_shot_repair_non1337_fine_tune_n10_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
94,experiments/EXP-094_few_shot_repair_non1337_fine_tune_n25_seed2024,True,fine_tune,25,2024,25,198,25,False,50,True,223,0.021326141756034644,0.09211885812375356,66.88082333139738,0.9540693728161914,-0.004102404441477784,False,2026-03-16T22:40:06Z,,,hardware_cpu_standard,EXP-094_few_shot_repair_non1337_fine_tune_n25_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
95,experiments/EXP-095_few_shot_repair_non1337_fine_tune_n25_seed2025,True,fine_tune,25,2025,25,198,25,False,50,True,223,0.03306422156521305,0.08899676181804021,64.91941943981902,1.4763539952455438,0.0071839726646870826,False,2026-03-16T22:42:05Z,,,hardware_cpu_standard,EXP-095_few_shot_repair_non1337_fine_tune_n25_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
96,experiments/EXP-096_few_shot_repair_non1337_fine_tune_n50_seed2024,True,fine_tune,50,2024,50,173,50,False,50,True,223,-0.013665007083563108,0.09572259359628633,64.36585990035411,-9.002542928977554,0.0027033354412879743,False,2026-03-16T22:44:00Z,,,hardware_cpu_standard,EXP-096_few_shot_repair_non1337_fine_tune_n50_seed2024,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
97,experiments/EXP-097_few_shot_repair_non1337_fine_tune_n50_seed2025,True,fine_tune,50,2025,50,173,50,False,50,True,223,0.033236220007383355,0.09127113049261426,63.63548174570439,3.1758216789947453,-7.398212051776474e-05,False,2026-03-16T22:45:51Z,,,hardware_cpu_standard,EXP-097_few_shot_repair_non1337_fine_tune_n50_seed2025,"{""matched_source_n"": 6995, ""matched_target_n"": 223, ""overlap_band"": [0.2, 0.8], ""run_id"": ""EXP-001_regime_matching_baseline""}","Few-shot strategy=fine_tune, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
