analysis_origin,source_artifact,exp_number,run_id,experiment_dir,created_utc,strategy,n_target_labels,requested_n_target_labels,effective_n_target_labels,seed,source_cluster,target_cluster,regime,overlap_run_id,overlap_band,source_overlap_n,target_overlap_n,actual_cal_n,actual_eval_n,min_target_eval_rows,min_target_eval_rows_satisfied,below_min_target_eval_rows,calibration_n_capped,target_r2,delta_vs_exp002,target_mae_log,target_smape,target_slope,target_intercept,target_bias_log,row_status,status_reason,limitations
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,84,EXP-084_few_shot_repair_non1337_output_recal_n50_seed2024,experiments/EXP-084_few_shot_repair_non1337_output_recal_n50_seed2024,2026-03-16T22:21:34Z,output_recal,50,50,50,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,-0.0012189453846431,-0.10821894538464309,0.0924618026318692,63.269983990864965,1.394808989515794,,0.0119962827613736,complete,,"Few-shot strategy=output_recal, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,85,EXP-085_few_shot_repair_non1337_output_recal_n50_seed2025,experiments/EXP-085_few_shot_repair_non1337_output_recal_n50_seed2025,2026-03-16T22:23:21Z,output_recal,50,50,50,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,0.0090876252100954,-0.0979123747899046,0.0922242229933395,68.1020815298269,1.1633571727486618,,0.0034261904798045,complete,,"Few-shot strategy=output_recal, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,15,EXP-015_few_shot_main_output_recal_n100_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-015_few_shot_main_output_recal_n100_seed1337,,output_recal,100,100,100,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,100,2355,50,True,False,False,0.0877586279068306,-0.019241372093169395,0.0829778680293171,80.58988537246381,0.6729710585578842,0.044195170878104,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,86,EXP-086_few_shot_repair_non1337_output_recal_n100_seed2024,experiments/EXP-086_few_shot_repair_non1337_output_recal_n100_seed2024,2026-03-16T22:25:19Z,output_recal,100,100,100,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,0.0095306874677572,-0.0974693125322428,0.0927571291785913,66.95061962412859,3.596451926832285,,-0.0021678895816502,complete,,"Few-shot strategy=output_recal, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,87,EXP-087_few_shot_repair_non1337_output_recal_n100_seed2025,experiments/EXP-087_few_shot_repair_non1337_output_recal_n100_seed2025,2026-03-16T22:27:11Z,output_recal,100,100,100,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,-0.0337427080378138,-0.1407427080378138,0.0946692125658315,70.72831005039892,0.0895099102666602,,0.0064421735944494,complete,,"Few-shot strategy=output_recal, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,18,EXP-018_few_shot_main_output_recal_n200_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-018_few_shot_main_output_recal_n200_seed1337,,output_recal,200,200,200,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,200,2255,50,True,False,False,0.1160577491085184,0.009057749108518406,0.0830012058856334,79.02953851883389,0.8249686962821337,0.0184699745848257,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,88,EXP-088_few_shot_repair_non1337_output_recal_n200_seed2024,experiments/EXP-088_few_shot_repair_non1337_output_recal_n200_seed2024,2026-03-16T22:28:50Z,output_recal,200,200,173,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,-0.3035815507906492,-0.4105815507906492,0.1033407142633424,79.34135776434965,-1.8660576252628265,,0.0035315598601025,complete,,"Few-shot strategy=output_recal, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,89,EXP-089_few_shot_repair_non1337_output_recal_n200_seed2025,experiments/EXP-089_few_shot_repair_non1337_output_recal_n200_seed2025,2026-03-16T22:30:26Z,output_recal,200,200,173,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,-0.0100959872795893,-0.1170959872795893,0.1003473395873694,65.23794133983421,1.9638293985599964,,0.0201493824491227,complete,,"Few-shot strategy=output_recal, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,21,EXP-021_few_shot_main_output_recal_n500_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-021_few_shot_main_output_recal_n500_seed1337,,output_recal,500,500,500,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,500,1955,50,True,False,False,0.1117734592382926,0.004773459238292602,0.082137145087948,78.3782173374199,0.84979710862814,0.0178003268275899,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,90,EXP-090_few_shot_repair_non1337_output_recal_n500_seed2024,experiments/EXP-090_few_shot_repair_non1337_output_recal_n500_seed2024,2026-03-16T22:32:10Z,output_recal,500,500,173,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,-0.3035815507906492,-0.4105815507906492,0.1033407142633424,79.34135776434965,-1.8660576252628265,,0.0035315598601025,complete,,"Few-shot strategy=output_recal, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
