analysis_origin,source_artifact,exp_number,run_id,experiment_dir,created_utc,strategy,n_target_labels,requested_n_target_labels,effective_n_target_labels,seed,source_cluster,target_cluster,regime,overlap_run_id,overlap_band,source_overlap_n,target_overlap_n,actual_cal_n,actual_eval_n,min_target_eval_rows,min_target_eval_rows_satisfied,below_min_target_eval_rows,calibration_n_capped,target_r2,delta_vs_exp002,target_mae_log,target_smape,target_slope,target_intercept,target_bias_log,row_status,status_reason,limitations
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,33,EXP-033_few_shot_main_fine_tune_n100_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-033_few_shot_main_fine_tune_n100_seed1337,,fine_tune,100,100,100,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,100,2355,50,True,False,False,0.1048240923054995,-0.0021759076945005035,0.0822488735018337,78.4001498239332,0.7099705472639636,0.0377353639172379,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,98,EXP-098_few_shot_repair_non1337_fine_tune_n100_seed2024,experiments/EXP-098_few_shot_repair_non1337_fine_tune_n100_seed2024,2026-03-16T22:47:42Z,fine_tune,100,100,100,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,0.0356442470012942,-0.07135575299870581,0.0916338496104396,62.71534382378993,1.7325958552970606,,-0.0047721940452056,complete,,"Few-shot strategy=fine_tune, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,99,EXP-099_few_shot_repair_non1337_fine_tune_n100_seed2025,experiments/EXP-099_few_shot_repair_non1337_fine_tune_n100_seed2025,2026-03-16T22:49:38Z,fine_tune,100,100,100,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,0.0406127964392725,-0.0663872035607275,0.0891548776300794,64.31499873381166,1.987727899334776,,0.0054648032426148,complete,,"Few-shot strategy=fine_tune, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,36,EXP-036_few_shot_main_fine_tune_n200_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-036_few_shot_main_fine_tune_n200_seed1337,,fine_tune,200,200,200,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,200,2255,50,True,False,False,0.1286538200986139,0.0216538200986139,0.0821263402737731,76.18885848726073,0.8682542604155525,0.0124858919280323,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,100,EXP-100_few_shot_repair_non1337_fine_tune_n200_seed2024,experiments/EXP-100_few_shot_repair_non1337_fine_tune_n200_seed2024,2026-03-16T22:52:07Z,fine_tune,200,200,173,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,0.0129953646360038,-0.0940046353639962,0.0816036578608735,50.95726177124942,1.4584822449023316,,0.0143135138825948,complete,,"Few-shot strategy=fine_tune, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,101,EXP-101_few_shot_repair_non1337_fine_tune_n200_seed2025,experiments/EXP-101_few_shot_repair_non1337_fine_tune_n200_seed2025,2026-03-16T22:53:54Z,fine_tune,200,200,173,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,0.0266459045373781,-0.0803540954626219,0.0989345222057909,65.2163517188759,2.641058134171101,,0.0173958376575454,complete,,"Few-shot strategy=fine_tune, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,39,EXP-039_few_shot_main_fine_tune_n500_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-039_few_shot_main_fine_tune_n500_seed1337,,fine_tune,500,500,500,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,500,1955,50,True,False,False,0.1238731832070805,0.016873183207080505,0.0808054667719111,70.92187474939973,0.881869781991252,0.0139654228791448,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,102,EXP-102_few_shot_repair_non1337_fine_tune_n500_seed2024,experiments/EXP-102_few_shot_repair_non1337_fine_tune_n500_seed2024,2026-03-16T22:55:51Z,fine_tune,500,500,173,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,0.0129953646360038,-0.0940046353639962,0.0816036578608735,50.95726177124942,1.4584822449023316,,0.0143135138825948,complete,,"Few-shot strategy=fine_tune, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,103,EXP-103_few_shot_repair_non1337_fine_tune_n500_seed2025,experiments/EXP-103_few_shot_repair_non1337_fine_tune_n500_seed2025,2026-03-16T22:57:40Z,fine_tune,500,500,173,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,0.0266459045373781,-0.0803540954626219,0.0989345222057909,65.2163517188759,2.641058134171101,,0.0173958376575454,complete,,"Few-shot strategy=fine_tune, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,42,EXP-042_few_shot_main_stacked_n10_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-042_few_shot_main_stacked_n10_seed1337,,stacked,10,10,10,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,10,2445,50,True,False,False,0.0408424385499026,-0.06615756145009741,0.0757089210268564,60.20377558627447,0.8387189488070685,0.0439849213366829,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,104,EXP-104_few_shot_repair_non1337_stacked_n10_seed2024,experiments/EXP-104_few_shot_repair_non1337_stacked_n10_seed2024,2026-03-16T22:59:32Z,stacked,10,10,10,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,-0.3558301280281408,-0.4628301280281408,0.0846491741909771,37.80495980408951,-0.6004211223852178,,0.0557491046832241,complete,,"Few-shot strategy=stacked, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,105,EXP-105_few_shot_repair_non1337_stacked_n10_seed2025,experiments/EXP-105_few_shot_repair_non1337_stacked_n10_seed2025,2026-03-16T23:01:36Z,stacked,10,10,10,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,-0.1356707687490039,-0.2426707687490039,0.0871368822947715,47.7642710231216,-0.9734772778025044,,0.0210042388049249,complete,,"Few-shot strategy=stacked, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,45,EXP-045_few_shot_main_stacked_n25_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-045_few_shot_main_stacked_n25_seed1337,,stacked,25,25,25,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,25,2430,50,True,False,False,0.1213827386402784,0.014382738640278406,0.0858373441740315,76.69096768921018,1.0678680641778286,-0.0149898138586534,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,106,EXP-106_few_shot_repair_non1337_stacked_n25_seed2024,experiments/EXP-106_few_shot_repair_non1337_stacked_n25_seed2024,2026-03-16T23:03:07Z,stacked,25,25,25,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,0.0280566557679111,-0.0789433442320889,0.0908530737241243,67.76243140021401,0.7636063775643854,,-0.001924262426655,complete,,"Few-shot strategy=stacked, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,107,EXP-107_few_shot_repair_non1337_stacked_n25_seed2025,experiments/EXP-107_few_shot_repair_non1337_stacked_n25_seed2025,2026-03-16T23:05:01Z,stacked,25,25,25,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,0.020168825840077,-0.086831174159923,0.0855420147215666,63.545969633076815,1.0175506466663178,,0.0149455674971963,complete,,"Few-shot strategy=stacked, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,48,EXP-048_few_shot_main_stacked_n50_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-048_few_shot_main_stacked_n50_seed1337,,stacked,50,50,50,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,50,2405,50,True,False,False,0.1087496995615618,0.0017496995615618044,0.085516189057024,77.94980949589802,0.7382907681379138,0.0242250496964625,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,108,EXP-108_few_shot_repair_non1337_stacked_n50_seed2024,experiments/EXP-108_few_shot_repair_non1337_stacked_n50_seed2024,2026-03-16T23:06:30Z,stacked,50,50,50,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,-0.0986682642204705,-0.2056682642204705,0.0958141273989919,64.73907166617082,-1.4269389466038362,,0.0134704867913233,complete,,"Few-shot strategy=stacked, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,109,EXP-109_few_shot_repair_non1337_stacked_n50_seed2025,experiments/EXP-109_few_shot_repair_non1337_stacked_n50_seed2025,2026-03-16T23:08:13Z,stacked,50,50,50,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,0.0641208974463234,-0.04287910255367659,0.0880292754087316,64.36484781049472,2.430886959228408,,0.0054753296316235,complete,,"Few-shot strategy=stacked, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,51,EXP-051_few_shot_main_stacked_n100_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-051_few_shot_main_stacked_n100_seed1337,,stacked,100,100,100,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,100,2355,50,True,False,False,0.1061406509767529,-0.0008593490232470941,0.0818087436189344,78.0869825874489,0.7046827685630745,0.0396000224733568,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,110,EXP-110_few_shot_repair_non1337_stacked_n100_seed2024,experiments/EXP-110_few_shot_repair_non1337_stacked_n100_seed2024,2026-03-16T23:09:31Z,stacked,100,100,100,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,0.0831324520740239,-0.023867547925976104,0.0894633241212414,66.10745215040214,1.3559436689375952,,-0.0060891767480112,complete,,"Few-shot strategy=stacked, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,111,EXP-111_few_shot_repair_non1337_stacked_n100_seed2025,experiments/EXP-111_few_shot_repair_non1337_stacked_n100_seed2025,2026-03-16T23:11:38Z,stacked,100,100,100,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,0.0395119209536454,-0.0674880790463546,0.0887927667655802,64.84586588771782,0.770900088129852,,0.0058865349858358,complete,,"Few-shot strategy=stacked, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,54,EXP-054_few_shot_main_stacked_n200_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-054_few_shot_main_stacked_n200_seed1337,,stacked,200,200,200,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,200,2255,50,True,False,False,0.1343343695768434,0.02733436957684339,0.0817785642020506,74.61203818551829,0.8720590776717275,0.0124508771043092,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,112,EXP-112_few_shot_repair_non1337_stacked_n200_seed2024,experiments/EXP-112_few_shot_repair_non1337_stacked_n200_seed2024,2026-03-16T23:13:46Z,stacked,200,200,173,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,-0.1301401194493696,-0.23714011944936958,0.0852695903674351,61.02334877878546,-0.02813889517518,,0.0236182909197102,complete,,"Few-shot strategy=stacked, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,113,EXP-113_few_shot_repair_non1337_stacked_n200_seed2025,experiments/EXP-113_few_shot_repair_non1337_stacked_n200_seed2025,2026-03-16T23:15:45Z,stacked,200,200,173,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,0.0736033574203486,-0.0333966425796514,0.0958247511300747,68.24742168805902,1.6028226709233742,,0.01563570581867,complete,,"Few-shot strategy=stacked, N=200. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 200 was capped to 173 to preserve at least 50 target evaluation rows."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,57,EXP-057_few_shot_main_stacked_n500_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-057_few_shot_main_stacked_n500_seed1337,,stacked,500,500,500,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,500,1955,50,True,False,False,0.1050602554996906,-0.0019397445003093983,0.0822663350411393,69.90084383458165,0.7422600437385024,0.0294127555265781,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,114,EXP-114_few_shot_repair_non1337_stacked_n500_seed2024,experiments/EXP-114_few_shot_repair_non1337_stacked_n500_seed2024,2026-03-16T23:17:48Z,stacked,500,500,173,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,-0.1301401194493696,-0.23714011944936958,0.0852695903674351,61.02334877878546,-0.02813889517518,,0.0236182909197102,complete,,"Few-shot strategy=stacked, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,115,EXP-115_few_shot_repair_non1337_stacked_n500_seed2025,experiments/EXP-115_few_shot_repair_non1337_stacked_n500_seed2025,2026-03-16T23:19:56Z,stacked,500,500,173,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,173,50,50,True,False,True,0.0736033574203486,-0.0333966425796514,0.0958247511300747,68.24742168805902,1.6028226709233742,,0.01563570581867,complete,,"Few-shot strategy=stacked, N=500. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue. || Requested target calibration size 500 was capped to 173 to preserve at least 50 target evaluation rows."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,60,EXP-060_few_shot_main_target_only_n10_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-060_few_shot_main_target_only_n10_seed1337,,target_only,10,10,10,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,10,2445,50,True,False,False,0.0409888006455009,-0.06601119935449909,0.0756777739238611,60.03558629525072,0.8396589954218905,0.0439035027864563,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,116,EXP-116_few_shot_repair_non1337_target_only_n10_seed2024,experiments/EXP-116_few_shot_repair_non1337_target_only_n10_seed2024,2026-03-16T23:21:56Z,target_only,10,10,10,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,-0.3293631925470872,-0.43636319254708716,0.0835900323401673,37.89450358710678,-0.5810901038618753,,0.054582816336293,complete,,"Few-shot strategy=target_only, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,117,EXP-117_few_shot_repair_non1337_target_only_n10_seed2025,experiments/EXP-117_few_shot_repair_non1337_target_only_n10_seed2025,2026-03-16T23:23:59Z,target_only,10,10,10,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,10,213,50,True,False,False,-0.1784149251453604,-0.2854149251453604,0.0867226018610924,46.72347464297171,-0.8378492261954107,,0.0232869715726873,complete,,"Few-shot strategy=target_only, N=10. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,63,EXP-063_few_shot_main_target_only_n25_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-063_few_shot_main_target_only_n25_seed1337,,target_only,25,25,25,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,25,2430,50,True,False,False,0.1217496675066805,0.014749667506680497,0.0856994621953638,76.59632474719609,1.06614013754714,-0.0146597289664963,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,118,EXP-118_few_shot_repair_non1337_target_only_n25_seed2024,experiments/EXP-118_few_shot_repair_non1337_target_only_n25_seed2024,2026-03-16T23:26:01Z,target_only,25,25,25,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,0.0176699301150838,-0.0893300698849162,0.0904794292521478,66.93770888578383,0.6753195437565613,,-0.0015841185310409,complete,,"Few-shot strategy=target_only, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,119,EXP-119_few_shot_repair_non1337_target_only_n25_seed2025,experiments/EXP-119_few_shot_repair_non1337_target_only_n25_seed2025,2026-03-16T23:28:06Z,target_only,25,25,25,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,25,198,50,True,False,False,0.02035438300238,-0.08664561699762,0.0855421966969449,63.53019413116456,1.0207158597340085,,0.0149498984078314,complete,,"Few-shot strategy=target_only, N=25. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,66,EXP-066_few_shot_main_target_only_n50_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-066_few_shot_main_target_only_n50_seed1337,,target_only,50,50,50,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,50,2405,50,True,False,False,0.1086507728528823,0.0016507728528823012,0.0855159589965234,78.14201576097086,0.7379229412147607,0.0242753211546306,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,120,EXP-120_few_shot_repair_non1337_target_only_n50_seed2024,experiments/EXP-120_few_shot_repair_non1337_target_only_n50_seed2024,2026-03-16T23:30:08Z,target_only,50,50,50,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,-0.1215917392721253,-0.22859173927212528,0.0970470789756254,65.9861178664441,-1.6653300604530628,,0.0121418898999353,complete,,"Few-shot strategy=target_only, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,121,EXP-121_few_shot_repair_non1337_target_only_n50_seed2025,experiments/EXP-121_few_shot_repair_non1337_target_only_n50_seed2025,2026-03-16T23:32:05Z,target_only,50,50,50,2025,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,50,173,50,True,False,False,0.0533602206931754,-0.0536397793068246,0.0892197404387115,65.09163336111389,2.815149890424696,,0.0041336864935119,complete,,"Few-shot strategy=target_only, N=50. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
original_valid_seed1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp003_main_few_shot_summary.csv,69,EXP-069_few_shot_main_target_only_n100_seed1337,/home/jmckerra/Code/FRESCO-v4/experiments/EXP-069_few_shot_main_target_only_n100_seed1337,,target_only,100,100,100,1337,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,2459,100,2355,50,True,False,False,0.1062402249355866,-0.0007597750644133955,0.0818194291975687,78.0951511984628,0.7048346355874424,0.0395872282332983,,complete,,
repair_non1337,C:\Users\jmckerra\ObsidianNotes\Main\01-Projects\FRESCO-v4\results\exp078_127_repair_harvest.csv,122,EXP-122_few_shot_repair_non1337_target_only_n100_seed2024,experiments/EXP-122_few_shot_repair_non1337_target_only_n100_seed2024,2026-03-16T23:34:02Z,target_only,100,100,100,2024,anvil,conte,hardware_cpu_standard,EXP-001_regime_matching_baseline,"[0.2, 0.8]",6995,223,100,123,50,True,False,False,0.073597205107819,-0.033402794892180995,0.0899438227300826,64.2159078337093,1.2760724367579177,,-0.00629142897037,complete,,"Few-shot strategy=target_only, N=100. Calibration set sampled stratified by label quartile. || hardware_cpu_standard uses recovered hardware metadata from config/clusters.json: gpu_count_per_node<=0 and node_memory_gb<512, with partition recovered from queue."
