r2,mae_log,mdae_log,rmse_log,median_mult_error,smape,variant,model,cluster,split,n_train,n_test
-0.07259826342737785,2.588394055948383,2.502824262388409,2.9758561311474883,12.216949152542378,169.7358296997054,global_median,baseline,S,time_based,4837564,166819
0.07375941500590033,2.1172204495920273,1.6296415669847786,2.7653830066641802,5.102045649151058,134.44821245220356,user_median,baseline,S,time_based,4837564,166819
0.3296383877669039,1.9370879046888536,1.7565976432671055,2.352599253617071,5.7926950132557895,141.11320834213998,no_timelimit,xgboost,S,time_based,4837564,166819
0.3296383877669039,1.9370879046888536,1.7565976432671055,2.352599253617071,5.7926950132557895,141.11320834213998,with_timelimit,xgboost,S,time_based,4837564,166819
0.04818134152350617,2.3961822338057175,2.238675238184232,2.8033059158175213,9.380895599811097,161.46767998192496,with_user,xgboost,S,time_based,4837564,166819
0.36153886078007624,1.8563524768068924,1.6531275955069056,2.2959404564474197,5.2232906474200975,135.7253221206454,with_timelimit_user,xgboost,S,time_based,4837564,166819
-0.08686066629704947,2.44936119718233,2.3156021221239387,2.8628434518287094,10.131021194605017,164.0643932834273,global_median,baseline,S,user_aware,4199065,805318
-0.08686066629704947,2.44936119718233,2.3156021221239387,2.8628434518287094,10.131021194605017,164.0643932834273,user_median,baseline,S,user_aware,4199065,805318
0.2114766550290682,1.9934926689392016,1.7921061112213268,2.4384729488012375,6.0020802125339845,142.87411907948174,no_timelimit,xgboost,S,user_aware,4199065,805318
0.2114766550290682,1.9934926689392016,1.7921061112213268,2.4384729488012375,6.0020802125339845,142.87411907948174,with_timelimit,xgboost,S,user_aware,4199065,805318
-0.3050130824753994,2.6652406059316607,2.5889205484214504,3.1370258471955137,13.315390523433045,172.05804290730015,with_user,xgboost,S,user_aware,4199065,805318
0.21494587797995734,1.9643458108588223,1.7449509702970598,2.433102827729294,5.725620743067722,140.5259342977684,with_timelimit_user,xgboost,S,user_aware,4199065,805318
-0.13219739118587026,2.2188392921598212,2.3237873006446486,2.477494526579676,10.214285714285714,164.33121018759383,global_median,baseline,C,time_based,1020789,525347
-0.3196674708552387,1.904540042338867,1.4360702326140817,2.6747542398669957,4.204142011834319,123.13814667389671,user_median,baseline,C,time_based,1020789,525347
0.125699414173571,1.8100114270169845,1.8249678706988086,2.1771182254881443,6.202595730836982,144.46446585251286,no_timelimit,xgboost,C,time_based,1020789,525347
0.125699414173571,1.8100114270169845,1.8249678706988086,2.1771182254881443,6.202595730836982,144.46446585251286,with_timelimit,xgboost,C,time_based,1020789,525347
0.12178002389710707,1.556968808149135,0.9684271708396075,2.181992655647766,2.6337986845373953,89.92235147524956,with_user,xgboost,C,time_based,1020789,525347
0.41116857824936237,1.3878218433444862,1.2691105660115474,1.7866814044422985,3.557686827123649,112.23617908761933,with_timelimit_user,xgboost,C,time_based,1020789,525347
-0.24181049080061867,2.213333245218457,2.239444188416937,2.463551129324093,9.38811188811189,161.49444582930707,global_median,baseline,C,user_aware,1155574,390562
-0.24181049080061867,2.213333245218457,2.239444188416937,2.463551129324093,9.38811188811189,161.49444582930707,user_median,baseline,C,user_aware,1155574,390562
0.20079304319907587,1.6572388553054562,1.7539920884094036,1.9763485788315738,5.777621474618472,140.9822473744763,no_timelimit,xgboost,C,user_aware,1155574,390562
0.20079304319907587,1.6572388553054562,1.7539920884094036,1.9763485788315738,5.777621474618472,140.9822473744763,with_timelimit,xgboost,C,user_aware,1155574,390562
-0.2688389164322491,1.7251638842310362,1.0098557570666884,2.490216825460752,2.745205010033954,93.19676695172222,with_user,xgboost,C,user_aware,1155574,390562
0.2660093924068765,1.5163781355739472,1.440622767249364,1.8939964875104567,4.22332514676616,123.42042903602936,with_timelimit_user,xgboost,C,user_aware,1155574,390562
-15.161464447118625,12.058210633134097,12.988614670846264,12.449521097684185,437404.9354838714,199.9990855176678,global_median,baseline,NONE,time_based,345784,120561
-13.363505342344485,10.836821416187291,12.496438394233671,11.736605583237889,267383.2748091599,199.9985040257125,user_median,baseline,NONE,time_based,345784,120561
-8.93772409508603,9.330786119161523,9.819453516244957,9.762381100169373,18387.999251954818,199.9782478655718,no_timelimit,xgboost,NONE,time_based,345784,120561
-8.93772409508603,9.330786119161523,9.819453516244957,9.762381100169373,18387.999251954818,199.9782478655718,with_timelimit,xgboost,NONE,time_based,345784,120561
-9.232710132667851,9.221510471844521,9.463967434163926,9.906212179772131,12886.911129950453,199.96896316253196,with_user,xgboost,NONE,time_based,345784,120561
-8.73591292682363,8.8700709321977,9.48950274881195,9.662747488406396,13220.219921900154,199.96974560561847,with_timelimit_user,xgboost,NONE,time_based,345784,120561
-0.7674321336119834,5.4017280619680355,0.16777690011879542,8.065525556797432,1.182672727067795,16.738444092183965,global_median,baseline,NONE,user_aware,433220,33125
-0.7674321336119834,5.4017280619680355,0.16777690011879542,8.065525556797432,1.182672727067795,16.738444092183965,user_median,baseline,NONE,user_aware,433220,33125
0.13762037167968577,4.619577176466983,3.97114329948041,5.633918273380702,53.04514266838875,192.59877989456012,no_timelimit,xgboost,NONE,user_aware,433220,33125
0.13762037167968577,4.619577176466983,3.97114329948041,5.633918273380702,53.04514266838875,192.59877989456012,with_timelimit,xgboost,NONE,user_aware,433220,33125
-0.28130379340304357,5.220461215373403,3.3010822735797767,6.867321097400883,27.14199809790493,185.78636752978906,with_user,xgboost,NONE,user_aware,433220,33125
0.09553813606333461,4.5062417504815535,3.2240412212731613,5.769742459723571,25.1294690016149,184.69161333616574,with_timelimit_user,xgboost,NONE,user_aware,433220,33125
