r2,mae_log,mdae_log,rmse_log,mae_sec,mdae_sec,mape,mdape,variant,n_features,features,cluster,n_train,n_test
0.15820392399031447,1.8610886710416992,1.855461541120417,2.1223821360455553,6121.342797904722,1715.4045051469766,116.51844097063424,85.30869708518645,full,16,"ncores, nhosts, log_timelimit, log_wait_sec, month_1...",C,1223043,597342
-0.029240083074313583,2.0172044409164487,1.9927700905709136,2.3468129641695388,6285.495893769849,1507.641207459535,100.98788421551419,87.67674103762353,no_timelimit,15,"ncores, nhosts, log_wait_sec, month_1, month_2...",C,1223043,597342
0.132808933371641,1.9077636599736472,2.048287781800794,2.154157884025039,6153.512244264659,1731.761002444522,125.85986145229528,87.02034494856338,timelimit_only,1,log_timelimit,C,1223043,597342
0.184477536716538,1.8440507747617456,1.8423432536140063,2.08899835066126,6102.042575003258,1675.2013627900292,111.85926833604294,85.35051405838848,no_month,4,"ncores, nhosts, log_timelimit, log_wait_sec",C,1223043,597342
-0.08800853636021877,1.8686717482033057,1.409641725116881,2.4128831159082025,6084.934764339357,1866.0000000000007,265.0144174681981,74.744661095636,baseline_median,0,none,C,1223043,597342
0.0,1.9524795011950125,1.8570814898765375,2.313237015385485,6189.3356241031715,955.0920074247501,152.80191374751246,84.5344308728854,baseline_mean,0,none,C,1223043,597342
0.5615904654440683,1.7426782300786596,1.7496383712972303,2.0567147832685815,52742.12655101553,957.7455167565506,644.6671267346516,92.889423995987,full,16,"ncores, nhosts, log_timelimit, log_wait_sec, month_1...",NONE,256300,210044
0.04732723459580224,2.672478659800111,2.6521414047367005,3.0318377027157863,57023.16566377344,1983.907691605038,722.481221867719,200.70769912402534,no_timelimit,15,"ncores, nhosts, log_wait_sec, month_1, month_2...",NONE,256300,210044
0.5538986944897442,1.7378153826174236,1.6233850614475163,2.074678572273591,54386.12193561594,684.2190318981287,425.1577864976151,95.38398714038595,timelimit_only,1,log_timelimit,NONE,256300,210044
0.5828901303711673,1.665886823359264,1.564990367730923,2.006131085577878,53522.1944071798,712.4721562340455,481.3014861260777,94.05947109352059,no_month,4,"ncores, nhosts, log_timelimit, log_wait_sec",NONE,256300,210044
-0.11328618183118988,2.4993046916405324,1.7647307968401362,3.277460631446297,56909.70558073546,384.0000000000001,158.8089463202202,99.80332590742366,baseline_median,0,none,NONE,256300,210044
0.0,2.651922547324972,2.4181851150683658,3.1062333228063457,57041.696740109204,1172.026935114621,455.72404520847334,118.04324607961838,baseline_mean,0,none,NONE,256300,210044
0.35595926407171075,1.855148772198596,1.6296344536316005,2.301255528846239,15842.26345076987,2284.5990151594333,243.54761938120402,84.45555870022969,full,16,"ncores, nhosts, log_timelimit, log_wait_sec, month_1...",S,4802344,202308
0.151284623217935,2.214754190314419,2.1282367240751703,2.6417347647148266,16829.27646626009,2160.951288326883,186.21647713266793,90.99337210831109,no_timelimit,15,"ncores, nhosts, log_wait_sec, month_1, month_2...",S,4802344,202308
0.33718780908876567,1.9686150950306767,1.9373323051293196,2.3345512908434913,16710.915045333735,2215.6634729175767,198.33165867846026,88.96051010284548,timelimit_only,1,log_timelimit,S,4802344,202308
0.35451847034122563,1.8569592417319154,1.6358678645914715,2.303828178416389,15840.407663416156,2255.249786282615,239.0088981835391,84.42453996324811,no_month,4,"ncores, nhosts, log_timelimit, log_wait_sec",S,4802344,202308
-0.016712059114288857,2.4641797103157828,2.352482064138669,2.891393254394684,17429.58416375032,1790.9999999999995,312.90565023771455,93.66742596810934,baseline_median,0,none,S,4802344,202308
0.0,2.479357920513549,2.321497538844559,2.8675313598596244,17451.454982239946,1236.9731733470028,225.9330005723855,93.87507650991206,baseline_mean,0,none,S,4802344,202308
