start_year,start_month,source_token,jobs,runtime_mean_sec,runtime_median_sec,runtime_p90_sec,runtime_p99_sec,wait_mean_sec,wait_median_sec,wait_p90_sec,ncores_mean,ncores_p90,peak_memused_mean,peak_memused_p90,peak_memused_p99,cpuuser_mean_of_mean,frac_jobs_with_gpu_samples,frac_jobs_with_mem_samples
1969,12,C,3,1465825854.6666667,1470642164,1481670475,1481670475,-1465809705.0,-1470642034,0,1.0,1.0,9.781122525533041,21.266834259033203,21.266834259033203,48.095058630612996,0.0,1.0
2013,2,S,74419,5619.899205847969,327,15063,86412,1784.6562705760625,0,7,128.83548556148295,244.13797223890742,5.7899151900184105,8.147322068336763,30.26058304560586,82.48746696016555,0.0,1.0
2013,3,S,90701,8391.605902911764,522,26250,86419,2683.604348353381,0,113,185.80681580136934,308.4769961877707,7.026825689670334,14.138172305624169,31.680218931732927,75.7558860267638,0.0,1.0
2013,4,S,121704,6264.024124104384,516,15345,86414,3759.4651942417668,9,2423,333.6856635772037,293.9334044255541,6.595221821548608,10.743626936471054,31.44289223785735,77.24203019575366,0.0,1.0
2013,5,S,133028,6204.295216044742,520,15301,86413,2989.200852452115,0,1532,233.78043720119072,825.164658435139,8.48381246332128,21.599377739925934,31.802830532930116,76.84173215689249,0.0,1.0
2013,6,S,123000,7778.083073170732,810,23744,86417,3773.2183333333332,1,2051,195.79460162601626,499.2736914046531,7.031413450439892,13.453199825265596,31.273764594024254,84.16666190398401,0.0,1.0
2013,7,S,161400,5829.811741016109,144,13248,86414,2153.4385192069394,0,1118,177.16262701363073,256.0,6.153844493375687,10.074544028635199,30.842543729425607,76.42720301643803,0.0,1.0
2013,8,S,185050,5494.0426371251015,245,10336,86416,2650.7757903269385,0,861,170.4706835990273,256.0,6.01769895753147,10.161519154058414,30.812471430646237,79.2146386595066,0.0,1.0
2013,9,S,108498,8671.955271064904,348,23231,96960,3343.5320558904314,0,2960,208.28387620048295,270.81406508094267,7.1263805597249865,15.771561488965917,31.73910784291891,67.4565183325318,0.0,1.0
2013,10,S,101288,10759.799364189243,649,34146,158514,6188.176555959245,11,16240,270.2453202748598,512.0,7.915059614117177,17.327346658018765,31.7362274226688,71.23721943925572,0.0,1.0
2013,11,S,102320,10424.53423573104,289,34136,163315,6266.42607505864,14,19359,291.32384675527754,512.0,7.3731181113301245,16.030764220269297,31.38264054569444,72.69046097114898,0.0,1.0
2013,12,S,79093,13253.750926124942,879,47347,169506,6233.079678353331,15,17083,243.41451203014174,576.0,7.421995210905013,16.201574520432285,31.07754558105851,73.0023882494635,0.0,1.0
2014,1,S,194640,6067.503452527743,179,9104,132242,2887.6276921496096,3,4946,109.27801068639539,253.23562126290983,5.860241706016065,8.860893238721813,29.529828131938515,80.01544686730452,0.0,1.0
2014,2,S,121903,9301.097347891357,707,21973,163176,4774.271264858125,10,13658,185.99942577295062,256.0,7.631513959750651,17.466572509472694,31.412517364196844,75.95272849247709,0.0,1.0
2014,3,S,124165,10134.24767849233,348,28795,171136,8388.155599404019,36,23870,271.371674787581,533.8112431285167,7.614425770951287,16.594498149770367,31.69636288585178,63.65919888490874,0.0,1.0
2014,4,S,97182,11633.310335247268,407,34551,172811,14909.450875676566,96,42450,379.44475314358624,768.308751103862,7.69805515255536,16.223301372656657,31.637112429048923,58.211429749680406,0.0,1.0
2014,5,S,126269,11483.78476110526,400,35825,171802,10460.362947358417,53,29526,252.80326921097023,578.6812828020016,8.260066960432853,18.421920912646907,31.71998915271302,64.21473994956948,0.0,1.0
2014,6,S,90151,11359.995152577343,574,35399,172769,12231.412341515901,38,39345,355.8003793635123,936.1260404554611,8.834821809227474,19.201161348259973,31.758493028382613,68.13833436509796,0.0,1.0
2014,7,S,136067,10128.433911234906,316,27226,172178,7724.089117861054,14,21812,211.2081842033704,304.6169677579083,7.631564061650743,17.230338821934932,30.446526319698638,71.44258395000546,0.0,1.0
2014,8,S,150704,8005.863148954241,271,17973,160869,3557.67086474148,10,4055,294.79626287291643,944.2860259708391,7.080975532795344,14.344640316242165,30.336968639414195,66.46238982395029,0.0,1.0
2014,9,S,108437,10267.30813283289,518,28062,170756,6189.548530483137,15,16151,221.59683502863413,296.06258633430997,7.463925585012614,14.84983757106389,30.321789485999926,70.54367146436425,0.0,1.0
2014,10,S,101355,12119.056829954121,415,36745,172795,10964.04235607518,47,36884,250.28385378126387,271.836855852158,7.552704721748436,16.18365066981192,30.359782877198903,63.80265124678051,0.0,1.0
2014,11,S,79676,15320.547555098148,1217,49293,172813,11777.910148601837,25,41522,208.85968171092927,256.0,8.555594284906014,18.352603701701103,30.389016203133973,62.13963467218652,0.0,1.0
2014,12,S,77889,15688.50105919963,1175,55904,172814,10141.72008884438,24,29969,237.6921002965759,347.61147397680355,8.729126885673947,19.488294095627428,30.372058697876422,64.33286566692716,0.0,1.0
2015,1,S,90806,14311.118472347642,859,47873,172790,7120.683644252583,17,21547,276.8317512058675,493.5744546434285,8.591893315036648,18.8944814897682,30.433402582044806,66.70699958124104,0.0,1.0
2015,2,S,69704,14497.21140824056,1123,46911,172810,24555.78926603925,210,77743,393.72409043957305,511.69597288410364,8.434010218815716,18.35907216166341,30.40158867222287,65.71566769205768,0.0,1.0
2015,3,S,71607,15456.170472160544,832,53452,172810,46138.56884103509,711,129977,282.39898333961764,306.9544464304396,8.217402210218683,17.985426031716994,30.480945830339856,65.54406468701116,0.0,1.0
2015,4,C,759,114074.99077733861,2723,293174,1188094,41279.486166007904,33945,56595,1.0,1.0,7.879346093222612,30.7787510595396,31.866386297039867,44.50471822134359,0.0,1.0
2015,4,S,77984,13710.052767234305,529,47831,172811,38344.07396389003,1070,122219,235.3635617562577,258.3524377920635,9.097229014058602,20.189420154000384,30.784395298405645,65.38398514416754,0.0,1.0
2015,5,C,85713,7412.541668125022,274,13767,117321,59474.55472332085,5274,125250,1.0,1.0,6.316643612935339,18.92467720348565,31.864173689789173,36.148358442403904,0.0,1.0
2015,5,S,91171,13352.746772548287,530,42082,172815,33653.776606596395,4142,113431,176.25762578012746,256.0,10.022807256247175,20.939418379158006,30.355211848664435,69.61187649464387,0.0,1.0
2015,6,C,64520,8700.923047117172,585,14435,155578,29790.80206137632,2026,78114,1.0,1.0,5.819411117189505,15.02126140942005,31.858502755971774,47.073648885736254,0.0,1.0
2015,6,S,66422,18368.36779982536,1766,69649,172821,50264.653684020355,5486,173924,192.67423444039625,256.0,9.548043902882412,20.316644645527152,30.362120576907092,71.86295833173904,0.0,1.0
2015,7,C,661,139600.83812405445,10853,581338,1209617,149471.04841149773,25428,442429,1.0,1.0,8.95845936791078,20.935322571066177,31.86569701594014,57.43750208772528,0.0,1.0
2015,7,S,58199,21829.71039021289,2770,83226,172821,37413.90889877833,2747,114499,205.6271757246688,295.64040331663404,9.925042104239795,21.026974516528988,30.383088607082207,71.28671788540784,0.0,1.0
2015,8,C,54229,13754.200206531561,536,19147,278193,43744.93022183702,1180,133689,1.0,1.0,5.73160971121034,15.912358332403299,31.86484711693281,38.042739799044575,0.0,1.0
2015,8,S,67245,21379.189560562125,3123,83777,172820,25225.092244776562,1581,76476,207.14462041787493,256.47767939135616,9.875732535263873,20.94996020674996,30.43215655454025,71.35698033022925,0.0,1.0
2015,9,C,54169,12272.25025383522,528,14416,266955,21021.13245583267,370,30815,1.0,1.0,7.230504651081293,28.78870359193214,31.86574599949993,31.300775716664564,0.0,1.0
2015,9,S,69187,18261.518406637086,1706,66169,172820,18088.029109514795,620,48587,198.56007631491465,256.0,9.393336846565752,19.900873196337056,30.400430383062787,67.19438169415791,0.0,1.0
2015,10,C,48155,9231.786231959299,843,10025,198002,35432.11168103001,3843,136054,1.0,1.0,8.242441802298305,31.84760234752763,31.875265771643534,28.04691096788929,0.0,1.0
