train_label,C,NONE,S
pooled(all),"0.134 [0.132,0.137]","0.561 [0.557,0.564]","0.329 [0.325,0.334]"
pooled(all)+clusterID,"0.141 [0.139,0.143]","0.752 [0.747,0.756]","0.329 [0.325,0.333]"
train=C,"0.113 [0.110,0.115]","0.509 [0.506,0.512]","0.297 [0.293,0.302]"
train=NONE,"0.153 [0.150,0.157]","0.710 [0.704,0.714]","-0.212 [-0.220,-0.203]"
train=S,"0.003 [-0.001,0.005]","0.498 [0.493,0.501]","0.329 [0.325,0.333]"
