,r2,r2,r2,r2,r2,r2,r2,r2,smape,smape,smape,smape,smape,smape,smape,smape
k,0,100,300,1000,3000,10000,30000,100000,0,100,300,1000,3000,10000,30000,100000
condition,,,,,,,,,,,,,,,,
NONE_to_C,0.14339901720417203,0.12678360220704143,0.09489778065331778,0.15934406592958306,0.12855881050570706,0.14103423684504013,0.14172640880887644,0.13779095774483774,122.88023308806302,124.93306270449366,125.95720325538599,132.19536494528484,131.4501025184734,141.06143407868902,140.60275187639647,142.507643919772
S_to_C,0.0034794048122948062,0.1620380385845509,0.05585722621110367,0.12269613049965788,0.115895677207422,0.10782924323874399,0.14105476950536777,0.12106576864819563,156.30839639846928,143.13243934414638,146.91425314905442,147.33474480157352,148.1675280661033,145.7562451938448,146.9868875872868,144.97085734138412
