jid,source_token,start_year,start_month,exitcode,anomaly_score,is_anomaly,failed
JOB3150257_S,S,2014,4,CANCELLED,0.20993183909997748,True,True
JOB4293844_S,S,2014,10,CANCELLED,0.20969401342873994,True,True
JOB567874_S,S,2013,4,TIMEOUT,0.2096866004120186,True,True
JOB718568,NONE,2023,1,COMPLETED,0.20945456026320108,True,False
JOB567864_S,S,2013,4,COMPLETED,0.20938081970898914,True,False
JOB4294318_S,S,2014,10,CANCELLED,0.20936668752780063,True,True
JOB4294121_S,S,2014,10,COMPLETED,0.20928805927421712,True,False
JOB718730,NONE,2023,1,FAILED,0.20924919640875528,True,True
JOB745185,NONE,2023,2,COMPLETED,0.20910256405504146,True,False
JOB1913825_S,S,2013,10,FAILED,0.2088906442166102,True,True
JOB4294134_S,S,2014,10,CANCELLED,0.20876546062429302,True,True
JOB310537_S,S,2013,2,COMPLETED,0.20871675759791997,True,False
